127.0.0.1 - - [20/Jan/2024:17:44:23 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:25 +0530] "GET /ChargingStation/admindashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/css/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/css/style-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/jquery2.0.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/css/monthly.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/css/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/raphael-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/jquery.dcjqaccordion.2.7.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/jquery.scrollTo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/js/monthly.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:26 +0530] "GET /ChargingStation/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:27 +0530] "GET /ChargingStation/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:44:27 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:45:04 +0530] "GET /ChargingStation/csdashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:45:42 +0530] "GET /ChargingStation/index.html HTTP/1.1" 304 -
