127.0.0.1 - - [24/Feb/2024:13:27:42 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/ HTTP/1.1" 200 40829
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/css/style.css HTTP/1.1" 200 8235
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/icon-apartment.png HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/icon-housing.png HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/icon-house.png HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/css/bootstrap.min.css HTTP/1.1" 200 164336
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/icon-villa.png HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/about.jpg HTTP/1.1" 200 102293
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/js/main.js HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/icon-neighborhood.png HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/icon-building.png HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/icon-condominium.png HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/icon-luxury.png HTTP/1.1" 200 3299
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/property-1.jpg HTTP/1.1" 200 32364
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/property-4.jpg HTTP/1.1" 200 24481
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:35 +0530] "GET /New/img/property-2.jpg HTTP/1.1" 200 23004
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/property-6.jpg HTTP/1.1" 200 20562
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/property-3.jpg HTTP/1.1" 200 27647
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/property-5.jpg HTTP/1.1" 200 31052
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/call-to-action.jpg HTTP/1.1" 200 25769
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/chef_1.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/chef_3.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/chef_4.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/chef_2.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/testimonial-1.jpg HTTP/1.1" 200 3451
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/testimonial-2.jpg HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/testimonial-3.jpg HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [24/Feb/2024:13:28:36 +0530] "GET /New/img/favicon.ico HTTP/1.1" 404 989
