127.0.0.1 - - [26/Apr/2024:19:30:15 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/css/style-liberty.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/images/testi1.jpg HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/images/about.jpg HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/images/img1.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/images/img2.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/images/img3.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/js/jquery-3.3.1.min.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/js/smartphoto.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/js/theme-change.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/js/bootstrap.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:18 +0530] "GET /Vaccine/assets/images/testi2.jpg HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g1.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g8.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g6.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g2.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g3.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g9.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g4.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g7.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/g5.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/dog2.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/blog1.jpg HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/blog2.jpg HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:19 +0530] "GET /Vaccine/assets/images/blog3.jpg HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [26/Apr/2024:19:30:20 +0530] "GET /favicon.ico HTTP/1.1" 404 973
